rep,position,fraction,latency_ns,outlier
2,1573096,0.078719,64149,1
2,1575338,0.078831,36024,0
2,1583335,0.079232,36075,0
2,1591332,0.079632,35312,0
2,1599328,0.080032,35574,0
2,1602993,0.080215,63400,1
2,1607325,0.080432,34693,0
2,1615311,0.080832,63306,1
2,1615322,0.080832,36247,0
2,1623318,0.081232,34785,0
2,1631315,0.081633,34687,0
2,1639312,0.082033,36162,0
2,1647308,0.082433,36473,0
2,1655305,0.082833,35283,0
2,1663302,0.083233,34484,0
2,1664496,0.083293,72095,1
2,1664497,0.083293,67432,1
2,1671298,0.083633,35078,0
2,1679295,0.084034,35683,0
2,1682631,0.084201,69467,1
2,1682632,0.084201,64996,1
2,1685859,0.084362,64816,1
2,1687292,0.084434,35102,0
2,1691842,0.084661,69344,1
2,1691843,0.084662,64964,1
2,1693296,0.084734,72291,1
2,1693297,0.084734,67879,1
2,1695288,0.084834,35199,0
2,1703285,0.085234,35567,0
2,1711281,0.085634,34341,0
2,1719134,0.086027,69563,1
2,1719135,0.086027,65071,1
2,1719278,0.086034,36945,0
2,1727275,0.086435,36362,0
2,1735271,0.086835,36278,0
2,1743268,0.087235,34662,0
2,1751265,0.087635,34610,0
2,1759261,0.088035,34920,0
2,1767258,0.088435,37769,0
2,1772893,0.088717,63303,1
2,1775255,0.088836,34674,0
2,1783251,0.089236,34531,0
2,1791248,0.089636,35560,0
2,1799245,0.090036,37778,0
2,1807241,0.090436,35084,0
2,1814370,0.090793,64372,1
2,1815238,0.090836,35097,0
2,1823234,0.091236,38015,0
2,1831231,0.091637,36682,0
2,1839228,0.092037,34571,0
2,1842012,0.092176,75314,1
2,1842013,0.092176,70653,1
2,1842014,0.092176,66279,1
2,1847224,0.092437,35768,0
2,1855221,0.092837,37778,0
2,1857587,0.092956,64825,1
2,1863218,0.093237,36932,0
2,1871214,0.093637,36088,0
2,1879211,0.094038,37767,0
2,1887208,0.094438,36365,0
2,1895204,0.094838,35340,0
2,1903201,0.095238,36181,0
2,1911198,0.095638,35228,0
2,1919194,0.096038,36704,0
2,1926920,0.096425,65401,1
2,1927191,0.096439,35085,0
2,1935188,0.096839,35339,0
2,1943184,0.097239,35432,0
2,1951181,0.097639,34699,0
2,1959177,0.098039,36351,0
2,1967174,0.098439,34313,0
2,1975171,0.09884,34695,0
2,1983167,0.09924,34887,0
2,1991164,0.09964,36299,0
2,1997146,0.099939,63817,1
2,1999161,0.10004,36124,0
2,2007157,0.10044,36813,0
2,2012950,0.10073,69214,1
2,2012951,0.10073,64914,1
2,2015154,0.10084,35114,0
2,2023151,0.10124,35592,0
2,2023429,0.101254,67421,1
2,2025785,0.101372,64073,1
2,2031147,0.101641,34186,0
2,2034605,0.101814,67557,1
2,2039144,0.102041,35624,0
2,2047141,0.102441,35609,0
2,2055137,0.102841,35037,0
2,2059295,0.103049,67191,1
2,2061766,0.103173,71661,1
2,2061767,0.103173,66948,1
2,2063134,0.103241,34772,0
2,2068653,0.103517,68223,1
2,2068654,0.103518,63772,1
2,2071130,0.103641,35546,0
2,2079127,0.104042,36890,0
2,2087124,0.104442,37307,0
2,2095120,0.104842,34852,0
2,2102316,0.105202,66814,1
2,2103117,0.105242,33979,0
2,2110813,0.105627,63689,1
2,2111114,0.105642,35515,0
2,2118259,0.106,66819,1
2,2119110,0.106042,38434,0
2,2127107,0.106443,35217,0
2,2135104,0.106843,35913,0
2,2136656,0.10692,64178,1
2,2139889,0.107082,63969,1
2,2143100,0.107243,34442,0
2,2151097,0.107643,49001,0
2,2152651,0.107721,63700,1
2,2154314,0.107804,69844,1
2,2154315,0.107804,65295,1
2,2157536,0.107965,64538,1
2,2158104,0.107994,63369,1
2,2159094,0.108043,39470,0
2,2167090,0.108443,35863,0
2,2169812,0.10858,64628,1
2,2169814,0.10858,64071,1
2,2175087,0.108844,34951,0
2,2183083,0.109244,36098,0
2,2191080,0.109644,36704,0
2,2199077,0.110044,35450,0
2,2200600,0.11012,64230,1
2,2207073,0.110444,34109,0
2,2215070,0.110844,36257,0
2,2223067,0.111244,38331,0
2,2231063,0.111645,34879,0
2,2239060,0.112045,35202,0
2,2247057,0.112445,37222,0
2,2254039,0.112794,66788,1
2,2255053,0.112845,36134,0
2,2260566,0.113121,63615,1
2,2263050,0.113245,36197,0
2,2271047,0.113645,35621,0
2,2279043,0.114046,39166,0
2,2279736,0.11408,63672,1
2,2287040,0.114446,35482,0
2,2295037,0.114846,35053,0
2,2303033,0.115246,35596,0
2,2311030,0.115646,35131,0
2,2315248,0.115857,63543,1
2,2319026,0.116046,36245,0
2,2327023,0.116447,35789,0
2,2328765,0.116534,64010,1
2,2335020,0.116847,36160,0
2,2339438,0.117068,74111,1
2,2339439,0.117068,69576,1
2,2339440,0.117068,65121,1
2,2339854,0.117089,63465,1
2,2343016,0.117247,35045,0
2,2349679,0.11758,63911,1
2,2351013,0.117647,35451,0
2,2358808,0.118037,73284,1
2,2358809,0.118037,75453,1
2,2358810,0.118037,77268,1
2,2358811,0.118037,77182,1
2,2358812,0.118037,77079,1
